,business_id,categories,name,review_count,stars,address,city,state,postal_code,latitude,longitude
595,Ya-HZZrzMWYSBtGyLajDQg,"CONVENIENCE STORES, HOT DOGS, GAS STATIONS, BURGERS, AUTOMOTIVE, FOOD STANDS, RESTAURANTS, COMFORT FOOD, FOOD, FAST FOOD",NATHAN'S FAMOUS,4,4.0,1038 STATE RT 11,CHAMPLAIN,NY,12919,44.9811404098,-73.45871843399999
9916,f5Pg89x-2xek78E9KHMhNg,"COFFEE & TEA, SANDWICHES, SALAD, FOOD, RESTAURANTS",LAKESIDE COFFEE,17,4.5,109 LAKE ST,ROUSES POINT,NY,12979,44.9931808,-73.3641541
22869,Uz77JHl5e6zlGa-71-6_dA,"BUFFETS, RESTAURANTS, SZECHUAN, CHINESE, CANTONESE",CHINA BUFFET,4,2.5,876 STATE RT 11,CHAMPLAIN,NY,12919,44.9794671,-73.4449037
27152,xkha6iK_PLsUqnFB-CJW5g,"HOT DOGS, FOOD, CONVENIENCE STORES, GAS STATIONS, AUTOMOTIVE, FAST FOOD, RESTAURANTS",VALERO,3,2.5,1038 RT 11,CHAMPLAIN,NY,12919,44.9820140128,-73.45902971619999
47513,sY2TrIpQaS8kFDI8GRGS3Q,"DELIS, RESTAURANTS",SANDY'S DELI & CATERING,4,3.0,133 LAKE ST,ROUSES POINT,NY,12979,44.9922132,-73.36378359999999
49201,BmZu5ackYYCrgQIaJ3-r9A,"AMERICAN (TRADITIONAL), PIZZA, ITALIAN, RESTAURANTS, BREAKFAST & BRUNCH",ANGELO'S PIZZA & GRILL,17,3.0,44 CHAMPLAIN ST,ROUSES POINT,NY,12979,44.9832840757,-73.3683259164
55110,6ipr7nnwrzf_o3MGD-8nlA,"PIZZA, RESTAURANTS",GINO'S PIZZA,14,4.5,46 LAKE ST,ROUSES POINT,NY,12979,44.995886600000006,-73.3657087
57738,-37cHdR8Z4Qrql6b6VoB9w,"DONUTS, COFFEE & TEA, FOOD, BAGELS",DUNKIN' DONUTS,3,1.0,1044 RT 11,CHAMPLAIN,NY,12919,44.981463899999994,-73.4598546
90906,0oyzNutZ--rBqP_boeegPg,"AMERICAN (NEW), BREAKFAST & BRUNCH, DINERS, AMERICAN (TRADITIONAL), RESTAURANTS",BEST FRIENDS FAMILY DINER,9,3.0,13 LAKE ST,ROUSES POINT,NY,12979,44.999192,-73.366007
119112,LbM7p-cI0dUCkaUzOyFMTw,"FOOD, FAST FOOD, RESTAURANTS, COFFEE & TEA, BURGERS",MCDONALD'S,8,2.5,1044 RTE 11,CHAMPLAIN,NY,12919,44.98147,-73.45985
123814,6029Vtm4LVYGPLm00htXrQ,"AUTOMOTIVE, CONVENIENCE STORES, FOOD, RESTAURANTS, GAS STATIONS, FAST FOOD",MAPLEFIELDS CHAMP IRVING,3,4.0,"3 SPIEGEL DR, STE 3",CHAMPLAIN,NY,12919,44.980309561599995,-73.4547526872
135191,Sm1aTKiMrBRUmpbdVg5wAg,"RESTAURANTS, NEW MEXICAN CUISINE, SICILIAN, PIZZA, ITALIAN",CASA CAPITANO,4,4.5,216 LAKE ST,ROUSES POINT,NY,12979,44.9833547,-73.3634552
188009,jH19V2I9fIslnNhDzPmdkA,"AMERICAN (TRADITIONAL), DINERS, BREAKFAST & BRUNCH, RESTAURANTS, SANDWICHES",SANDI'S KOUNTRY KITCHEN,8,5.0,2539 STATE RTE 11,MOOERS,NY,12958,44.959861100000005,-73.59263890000001
